"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2021";"0000";"11,8";"14,4";"11,8";"83,0";"83,0";"70,0";"8,9";"9,8";"8,5";"1027,4";"1027,4";"1026,8";"0,0";"317,0";"1,2";"";"0,0"
"01/07/2021";"0100";"12,4";"12,8";"11,6";"81,0";"85,0";"80,0";"9,2";"9,9";"8,9";"1027,9";"1027,9";"1027,4";"0,3";"231,0";"2,0";"";"0,0"
"01/07/2021";"0200";"12,6";"12,8";"12,4";"81,0";"81,0";"80,0";"9,4";"9,6";"9,3";"1028,1";"1028,2";"1027,9";"0,6";"264,0";"2,4";"";"0,0"
"01/07/2021";"0300";"11,1";"12,6";"11,1";"85,0";"85,0";"81,0";"8,7";"9,3";"8,7";"1028,3";"1028,3";"1028,0";"0,1";"301,0";"1,8";"";"0,0"
"01/07/2021";"0400";"9,9";"11,1";"9,9";"89,0";"89,0";"85,0";"8,1";"8,6";"8,0";"1028,2";"1028,3";"1028,1";"0,3";"327,0";"1,4";"";"0,0"
"01/07/2021";"0500";"10,0";"10,2";"9,7";"90,0";"90,0";"89,0";"8,5";"8,7";"8,1";"1027,9";"1028,2";"1027,9";"0,2";"276,0";"1,8";"";"0,0"
"01/07/2021";"0600";"10,1";"10,3";"9,7";"90,0";"91,0";"90,0";"8,5";"8,8";"8,1";"1027,5";"1027,9";"1027,4";"0,1";"320,0";"2,1";"";"0,0"
"01/07/2021";"0700";"9,2";"10,4";"9,2";"90,0";"90,0";"89,0";"7,7";"8,8";"7,7";"1027,5";"1027,7";"1027,5";"0,1";"303,0";"1,2";"";"0,0"
"01/07/2021";"0800";"9,1";"9,6";"9,1";"91,0";"91,0";"90,0";"7,7";"8,2";"7,5";"1027,4";"1027,5";"1027,2";"0,2";"277,0";"1,5";"";"0,0"
"01/07/2021";"0900";"9,3";"9,4";"8,9";"91,0";"91,0";"91,0";"7,9";"8,1";"7,5";"1028,0";"1028,0";"1027,4";"0,7";"268,0";"1,7";"";"0,0"
