"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"06/04/2022";"0000";"21,4";"21,8";"21,4";"93,0";"93,0";"92,0";"20,2";"20,5";"20,2";"987,9";"987,9";"987,5";"0,0";"356,0";"3,8";"";"0,0"
"06/04/2022";"0100";"21,1";"21,4";"21,0";"94,0";"94,0";"93,0";"20,0";"20,3";"20,0";"987,7";"987,9";"987,6";"0,3";"323,0";"1,6";"";"0,0"
"06/04/2022";"0200";"20,7";"21,2";"20,7";"94,0";"94,0";"94,0";"19,8";"20,2";"19,8";"987,5";"987,7";"987,5";"0,0";"266,0";"1,9";"";"0,0"
"06/04/2022";"0300";"20,8";"20,9";"20,1";"95,0";"95,0";"94,0";"19,9";"20,0";"19,1";"986,9";"987,5";"986,9";"0,0";"263,0";"0,0";"";"0,0"
"06/04/2022";"0400";"20,1";"20,9";"20,0";"95,0";"95,0";"95,0";"19,2";"20,0";"19,2";"986,9";"987,1";"986,6";"0,8";"199,0";"1,8";"";"0,0"
"06/04/2022";"0500";"20,3";"20,5";"19,9";"95,0";"95,0";"95,0";"19,5";"19,7";"19,1";"986,3";"986,9";"986,3";"1,8";"217,0";"2,5";"";"0,0"
"06/04/2022";"0600";"20,3";"20,8";"20,2";"95,0";"95,0";"95,0";"19,6";"20,0";"19,5";"986,2";"986,4";"986,1";"0,0";"6,0";"2,7";"";"0,0"
"06/04/2022";"0700";"20,3";"20,3";"20,1";"96,0";"96,0";"95,0";"19,6";"19,6";"19,4";"986,2";"986,4";"986,1";"0,3";"344,0";"1,9";"";"0,0"
"06/04/2022";"0800";"20,3";"20,4";"20,2";"96,0";"96,0";"96,0";"19,5";"19,7";"19,5";"986,0";"986,2";"985,6";"0,0";"23,0";"2,6";"";"0,0"
"06/04/2022";"0900";"20,3";"20,4";"20,1";"96,0";"96,0";"96,0";"19,6";"19,7";"19,4";"986,3";"986,3";"985,8";"0,1";"285,0";"1,3";"";"0,0"
