"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2021";"0000";"17,8";"18,0";"17,2";"54,0";"59,0";"54,0";"8,4";"9,1";"8,3";"915,5";"915,5";"915,1";"3,1";"186,0";"3,9";"";"0,0"
"01/07/2021";"0100";"16,6";"17,9";"16,6";"50,0";"58,0";"49,0";"6,0";"9,0";"6,0";"916,0";"916,0";"915,5";"4,5";"190,0";"7,5";"";"0,0"
"01/07/2021";"0200";"15,3";"16,8";"15,3";"46,0";"50,0";"43,0";"3,6";"6,0";"3,5";"916,3";"916,3";"916,0";"4,5";"192,0";"7,5";"";"0,0"
"01/07/2021";"0300";"14,8";"15,5";"14,7";"44,0";"46,0";"43,0";"2,5";"3,8";"2,5";"916,0";"916,3";"916,0";"5,0";"213,0";"7,7";"";"0,0"
"01/07/2021";"0400";"14,6";"14,9";"14,2";"44,0";"46,0";"43,0";"2,4";"3,0";"2,4";"916,1";"916,2";"916,0";"4,4";"212,0";"7,9";"";"0,0"
"01/07/2021";"0500";"13,5";"14,6";"13,5";"49,0";"49,0";"44,0";"3,0";"3,0";"2,2";"915,8";"916,1";"915,7";"4,8";"197,0";"6,9";"";"0,0"
"01/07/2021";"0600";"13,7";"14,3";"13,4";"44,0";"50,0";"40,0";"1,7";"3,1";"1,0";"915,4";"915,8";"915,4";"4,9";"201,0";"8,3";"";"0,0"
"01/07/2021";"0700";"12,9";"14,0";"12,8";"43,0";"45,0";"40,0";"0,7";"1,7";"0,1";"915,4";"915,5";"915,3";"5,4";"193,0";"9,4";"";"0,0"
"01/07/2021";"0800";"12,3";"13,0";"12,0";"47,0";"48,0";"43,0";"1,3";"1,3";"0,6";"915,8";"915,8";"915,3";"4,9";"201,0";"9,0";"";"0,0"
"01/07/2021";"0900";"12,0";"12,3";"11,8";"52,0";"53,0";"47,0";"2,5";"2,5";"1,3";"916,5";"916,5";"915,8";"5,2";"204,0";"8,0";"";"0,0"
"01/07/2021";"1000";"11,3";"12,1";"11,3";"58,0";"58,0";"52,0";"3,3";"3,3";"2,5";"917,2";"917,2";"916,5";"4,9";"194,0";"7,9";"24,90";"0,0"
"01/07/2021";"1100";"12,3";"12,3";"11,3";"61,0";"62,0";"58,0";"5,1";"5,2";"3,4";"917,7";"917,7";"917,1";"5,9";"192,0";"10,1";"538,90";"0,0"
"01/07/2021";"1200";"13,9";"14,0";"12,3";"64,0";"65,0";"61,0";"7,3";"7,3";"5,2";"918,5";"918,5";"917,7";"5,8";"185,0";"10,5";"1331,80";"0,0"
"01/07/2021";"1300";"16,6";"16,6";"13,8";"61,0";"65,0";"60,0";"9,1";"9,1";"7,2";"918,6";"918,7";"918,5";"3,7";"180,0";"8,8";"2012,60";"0,0"
"01/07/2021";"1400";"18,1";"18,1";"16,5";"59,0";"61,0";"58,0";"10,0";"10,0";"8,8";"918,2";"918,6";"918,2";"3,9";"165,0";"7,4";"2516,90";"0,0"
"01/07/2021";"1500";"21,1";"21,1";"18,0";"53,0";"59,0";"53,0";"11,1";"11,1";"9,4";"917,4";"918,2";"917,4";"3,3";"152,0";"7,4";"2777,40";"0,0"
"01/07/2021";"1600";"22,2";"22,6";"20,5";"48,0";"53,0";"48,0";"10,8";"11,5";"10,2";"916,6";"917,4";"916,6";"2,9";"154,0";"6,5";"2764,60";"0,0"
"01/07/2021";"1700";"22,8";"23,1";"21,9";"48,0";"50,0";"46,0";"11,0";"11,5";"10,6";"915,9";"916,6";"915,9";"2,7";"158,0";"6,5";"2528,00";"0,0"
"01/07/2021";"1800";"23,4";"23,8";"22,7";"46,0";"48,0";"44,0";"11,0";"11,8";"10,6";"915,6";"915,9";"915,6";"2,2";"156,0";"6,1";"2093,90";"0,0"
"01/07/2021";"1900";"22,8";"23,7";"22,8";"46,0";"47,0";"43,0";"10,6";"11,1";"9,9";"915,6";"915,6";"915,5";"1,0";"172,0";"5,3";"1418,00";"0,0"
"01/07/2021";"2000";"21,1";"23,1";"21,1";"54,0";"54,0";"46,0";"11,5";"11,6";"10,5";"915,9";"915,9";"915,6";"0,2";"216,0";"4,6";"489,60";"0,0"
"01/07/2021";"2100";"19,2";"21,1";"19,0";"62,0";"63,0";"54,0";"11,7";"11,8";"11,5";"916,2";"916,2";"915,9";"2,8";"222,0";"3,7";"33,50";"0,0"
"01/07/2021";"2200";"18,8";"19,2";"18,7";"63,0";"63,0";"62,0";"11,5";"11,7";"11,4";"916,6";"916,6";"916,2";"2,5";"215,0";"4,0";"";"0,0"
"01/07/2021";"2300";"18,6";"19,4";"18,6";"63,0";"63,0";"60,0";"11,4";"11,7";"11,3";"917,1";"917,1";"916,6";"2,5";"180,0";"5,3";"";"0,0"
"02/07/2021";"0000";"17,4";"18,7";"17,4";"66,0";"66,0";"62,0";"11,0";"11,6";"11,0";"917,5";"917,5";"917,1";"2,9";"130,0";"7,2";"";"0,0"
"02/07/2021";"0100";"15,9";"17,4";"15,7";"71,0";"71,0";"66,0";"10,6";"11,0";"10,6";"918,0";"918,1";"917,5";"1,9";"118,0";"5,5";"";"0,0"
"02/07/2021";"0200";"16,8";"17,3";"15,9";"69,0";"71,0";"66,0";"11,1";"11,3";"10,6";"918,0";"918,1";"918,0";"3,8";"107,0";"8,7";"";"0,0"
"02/07/2021";"0300";"16,5";"17,1";"16,4";"72,0";"72,0";"69,0";"11,4";"11,5";"10,9";"918,0";"918,1";"917,9";"3,2";"111,0";"10,5";"";"0,0"
"02/07/2021";"0400";"16,4";"16,7";"15,9";"74,0";"76,0";"72,0";"11,7";"11,8";"11,4";"918,0";"918,1";"918,0";"2,5";"118,0";"7,2";"";"0,0"
"02/07/2021";"0500";"15,6";"16,5";"15,6";"77,0";"77,0";"74,0";"11,5";"11,7";"11,5";"917,8";"918,1";"917,8";"2,6";"127,0";"6,3";"";"0,0"
"02/07/2021";"0600";"14,6";"15,6";"14,6";"81,0";"81,0";"77,0";"11,4";"11,6";"11,3";"917,5";"917,8";"917,5";"3,2";"134,0";"5,6";"";"0,0"
"02/07/2021";"0700";"13,2";"14,6";"13,2";"86,0";"86,0";"81,0";"10,9";"11,4";"10,9";"917,7";"917,7";"917,5";"2,6";"131,0";"4,8";"";"0,0"
"02/07/2021";"0800";"13,1";"13,2";"12,9";"86,0";"88,0";"86,0";"10,8";"11,0";"10,8";"917,8";"917,8";"917,6";"3,3";"135,0";"5,1";"";"0,0"
"02/07/2021";"0900";"13,3";"13,5";"13,0";"90,0";"90,0";"86,0";"11,7";"11,7";"10,7";"918,4";"918,4";"917,8";"3,8";"138,0";"5,4";"";"0,0"
"02/07/2021";"1000";"13,4";"13,4";"13,1";"88,0";"90,0";"88,0";"11,5";"11,7";"11,1";"919,0";"919,1";"918,4";"3,5";"139,0";"5,6";"14,90";"0,0"
"02/07/2021";"1100";"15,8";"15,8";"13,4";"75,0";"88,0";"75,0";"11,5";"11,6";"11,3";"919,4";"919,4";"919,0";"3,5";"138,0";"6,0";"574,10";"0,0"
"02/07/2021";"1200";"17,7";"18,0";"15,8";"66,0";"75,0";"65,0";"11,3";"11,6";"11,0";"920,2";"920,2";"919,4";"3,2";"128,0";"6,7";"1366,80";"0,0"
"02/07/2021";"1300";"19,0";"19,8";"17,6";"60,0";"66,0";"57,0";"10,9";"11,6";"10,6";"920,2";"920,3";"920,1";"3,0";"139,0";"7,1";"2042,40";"0,0"
"02/07/2021";"1400";"19,8";"20,5";"18,9";"54,0";"60,0";"53,0";"10,2";"11,6";"10,2";"920,1";"920,3";"920,1";"3,7";"159,0";"6,7";"2549,80";"0,0"
"02/07/2021";"1500";"21,2";"21,8";"19,8";"43,0";"55,0";"41,0";"8,3";"10,9";"7,6";"919,4";"920,1";"919,4";"2,3";"144,0";"7,6";"2859,00";"0,0"
"02/07/2021";"1600";"22,2";"22,9";"20,7";"41,0";"46,0";"39,0";"8,1";"9,7";"6,9";"918,4";"919,4";"918,4";"1,4";"97,0";"7,6";"2372,10";"0,0"
"02/07/2021";"1700";"21,3";"23,2";"21,2";"43,0";"45,0";"39,0";"8,3";"9,5";"7,6";"917,8";"918,4";"917,8";"1,9";"93,0";"5,9";"2048,50";"0,0"
"02/07/2021";"1800";"22,1";"23,1";"21,3";"41,0";"45,0";"39,0";"8,2";"9,5";"8,0";"917,2";"917,8";"917,2";"1,8";"110,0";"6,4";"2154,70";"0,0"
"02/07/2021";"1900";"22,1";"23,2";"21,9";"43,0";"44,0";"40,0";"8,9";"9,3";"8,2";"917,1";"917,2";"917,0";"1,3";"124,0";"5,0";"1418,70";"0,0"
"02/07/2021";"2000";"20,1";"22,1";"20,1";"50,0";"51,0";"42,0";"9,2";"9,5";"8,2";"917,3";"917,3";"916,9";"1,9";"144,0";"4,9";"509,00";"0,0"
"02/07/2021";"2100";"17,6";"20,1";"16,2";"57,0";"64,0";"49,0";"8,8";"9,6";"8,8";"917,6";"917,6";"917,3";"2,0";"173,0";"3,6";"29,00";"0,0"
"02/07/2021";"2200";"17,2";"18,0";"17,0";"59,0";"60,0";"56,0";"9,1";"9,4";"8,7";"918,1";"918,1";"917,6";"2,9";"214,0";"4,2";"";"0,0"
"02/07/2021";"2300";"17,3";"17,7";"16,7";"57,0";"60,0";"57,0";"8,7";"9,1";"8,7";"918,3";"918,3";"918,1";"2,5";"206,0";"4,0";"";"0,0"
"03/07/2021";"0000";"16,9";"17,3";"16,6";"58,0";"59,0";"57,0";"8,6";"8,8";"8,5";"918,3";"918,3";"918,2";"2,3";"208,0";"4,0";"";"0,0"
"03/07/2021";"0100";"16,2";"17,2";"16,2";"59,0";"59,0";"57,0";"8,2";"8,6";"8,2";"918,4";"918,4";"918,3";"2,2";"205,0";"3,5";"";"0,0"
"03/07/2021";"0200";"16,4";"17,0";"16,0";"59,0";"59,0";"57,0";"8,3";"8,6";"8,0";"918,4";"918,4";"918,2";"3,1";"190,0";"5,0";"";"0,0"
"03/07/2021";"0300";"15,0";"16,4";"15,0";"70,0";"71,0";"59,0";"9,6";"9,7";"8,3";"918,1";"918,5";"918,1";"2,8";"180,0";"5,0";"";"0,0"
"03/07/2021";"0400";"14,7";"15,1";"14,6";"73,0";"73,0";"70,0";"9,8";"10,1";"9,6";"918,0";"918,1";"917,9";"3,2";"168,0";"4,6";"";"0,0"
"03/07/2021";"0500";"13,9";"14,7";"13,8";"78,0";"78,0";"73,0";"10,1";"10,1";"9,7";"918,1";"918,1";"917,9";"3,4";"189,0";"4,7";"";"0,0"
